DATE,DGS10
2011-01-28,3.36
2011-01-31,3.42
2011-02-01,3.48
2011-02-02,3.52
2011-02-03,3.58
2011-02-04,3.68
2011-02-07,3.68
2011-02-08,3.75
2011-02-09,3.65
2011-02-10,3.70
2011-02-11,3.64
2011-02-14,3.62
2011-02-15,3.61
2011-02-16,3.62
2011-02-17,3.58
2011-02-18,3.59
2011-02-21,.
2011-02-22,3.46
2011-02-23,3.49
2011-02-24,3.46
2011-02-25,3.42
2011-02-28,3.42
2011-03-01,3.41
2011-03-02,3.46
2011-03-03,3.58
2011-03-04,3.49
2011-03-07,3.51
2011-03-08,3.56
2011-03-09,3.48
2011-03-10,3.37
2011-03-11,3.40
2011-03-14,3.36
2011-03-15,3.33
2011-03-16,3.22
2011-03-17,3.25
2011-03-18,3.28
2011-03-21,3.34
2011-03-22,3.34
2011-03-23,3.36
2011-03-24,3.42
2011-03-25,3.46
2011-03-28,3.47
2011-03-29,3.50
2011-03-30,3.47
2011-03-31,3.47
2011-04-01,3.46
2011-04-04,3.45
2011-04-05,3.50
2011-04-06,3.56
2011-04-07,3.58
2011-04-08,3.59
2011-04-11,3.59
2011-04-12,3.52
2011-04-13,3.49
2011-04-14,3.51
2011-04-15,3.43
2011-04-18,3.40
2011-04-19,3.39
2011-04-20,3.43
2011-04-21,3.42
2011-04-22,.
2011-04-25,3.39
2011-04-26,3.34
2011-04-27,3.39
2011-04-28,3.34
2011-04-29,3.32
2011-05-02,3.31
2011-05-03,3.28
2011-05-04,3.25
2011-05-05,3.18
2011-05-06,3.19
2011-05-09,3.17
2011-05-10,3.23
2011-05-11,3.19
2011-05-12,3.22
2011-05-13,3.18
2011-05-16,3.15
2011-05-17,3.12
2011-05-18,3.18
2011-05-19,3.17
2011-05-20,3.15
2011-05-23,3.13
2011-05-24,3.12
2011-05-25,3.13
2011-05-26,3.07
2011-05-27,3.07
2011-05-30,.
2011-05-31,3.05
2011-06-01,2.96
2011-06-02,3.04
2011-06-03,2.99
2011-06-06,3.01
2011-06-07,3.01
2011-06-08,2.98
2011-06-09,3.01
2011-06-10,2.99
2011-06-13,3.00
2011-06-14,3.11
2011-06-15,2.98
2011-06-16,2.93
2011-06-17,2.94
2011-06-20,2.97
2011-06-21,2.99
2011-06-22,3.01
2011-06-23,2.93
2011-06-24,2.88
2011-06-27,2.95
2011-06-28,3.05
2011-06-29,3.14
2011-06-30,3.18
2011-07-01,3.22
2011-07-04,.
2011-07-05,3.16
2011-07-06,3.12
2011-07-07,3.17
2011-07-08,3.03
2011-07-11,2.94
2011-07-12,2.92
2011-07-13,2.92
2011-07-14,2.98
2011-07-15,2.94
2011-07-18,2.94
2011-07-19,2.91
2011-07-20,2.96
2011-07-21,3.03
2011-07-22,2.99
2011-07-25,3.03
2011-07-26,2.99
2011-07-27,3.01
2011-07-28,2.98
2011-07-29,2.82
2011-08-01,2.77
2011-08-02,2.66
2011-08-03,2.64
2011-08-04,2.47
2011-08-05,2.58
2011-08-08,2.40
2011-08-09,2.20
2011-08-10,2.17
2011-08-11,2.34
2011-08-12,2.24
2011-08-15,2.29
2011-08-16,2.23
2011-08-17,2.17
2011-08-18,2.08
2011-08-19,2.07
2011-08-22,2.10
2011-08-23,2.15
2011-08-24,2.29
2011-08-25,2.23
2011-08-26,2.19
2011-08-29,2.28
2011-08-30,2.19
2011-08-31,2.23
2011-09-01,2.15
2011-09-02,2.02
2011-09-05,.
2011-09-06,1.98
2011-09-07,2.05
2011-09-08,2.00
2011-09-09,1.93
2011-09-12,1.94
2011-09-13,2.00
2011-09-14,2.03
2011-09-15,2.09
2011-09-16,2.08
2011-09-19,1.97
2011-09-20,1.95
2011-09-21,1.88
2011-09-22,1.72
2011-09-23,1.84
2011-09-26,1.91
2011-09-27,2.00
2011-09-28,2.03
2011-09-29,1.99
2011-09-30,1.92
2011-10-03,1.80
2011-10-04,1.81
2011-10-05,1.92
2011-10-06,2.01
2011-10-07,2.10
2011-10-10,.
2011-10-11,2.18
2011-10-12,2.24
2011-10-13,2.19
2011-10-14,2.26
2011-10-17,2.18
2011-10-18,2.19
2011-10-19,2.18
2011-10-20,2.20
2011-10-21,2.23
2011-10-24,2.25
2011-10-25,2.14
2011-10-26,2.23
2011-10-27,2.42
2011-10-28,2.34
2011-10-31,2.17
2011-11-01,2.01
2011-11-02,2.03
2011-11-03,2.09
2011-11-04,2.06
2011-11-07,2.04
2011-11-08,2.10
2011-11-09,2.00
2011-11-10,2.04
2011-11-11,.
2011-11-14,2.04
2011-11-15,2.06
2011-11-16,2.01
2011-11-17,1.96
2011-11-18,2.01
2011-11-21,1.97
2011-11-22,1.94
2011-11-23,1.89
2011-11-24,.
2011-11-25,1.97
2011-11-28,1.97
2011-11-29,2.00
2011-11-30,2.08
2011-12-01,2.11
2011-12-02,2.05
2011-12-05,2.04
2011-12-06,2.08
2011-12-07,2.02
2011-12-08,1.99
2011-12-09,2.07
2011-12-12,2.03
2011-12-13,1.96
2011-12-14,1.92
2011-12-15,1.92
2011-12-16,1.86
2011-12-19,1.82
2011-12-20,1.94
2011-12-21,1.98
2011-12-22,1.97
2011-12-23,2.03
2011-12-26,.
2011-12-27,2.02
2011-12-28,1.93
2011-12-29,1.91
2011-12-30,1.89
2012-01-02,.
2012-01-03,1.97
2012-01-04,2.00
2012-01-05,2.02
2012-01-06,1.98
2012-01-09,1.98
2012-01-10,2.00
2012-01-11,1.93
2012-01-12,1.94
2012-01-13,1.89
2012-01-16,.
2012-01-17,1.87
2012-01-18,1.92
2012-01-19,2.01
2012-01-20,2.05
2012-01-23,2.09
2012-01-24,2.08
2012-01-25,2.01
2012-01-26,1.96
2012-01-27,1.93
2012-01-30,1.87
2012-01-31,1.83
2012-02-01,1.87
2012-02-02,1.86
2012-02-03,1.97
2012-02-06,1.93
2012-02-07,2.00
2012-02-08,2.01
2012-02-09,2.04
2012-02-10,1.96
2012-02-13,1.99
2012-02-14,1.92
2012-02-15,1.93
2012-02-16,1.99
2012-02-17,2.01
2012-02-20,.
2012-02-21,2.05
2012-02-22,2.01
2012-02-23,1.99
2012-02-24,1.98
2012-02-27,1.92
2012-02-28,1.94
2012-02-29,1.98
2012-03-01,2.03
2012-03-02,1.99
2012-03-05,2.00
2012-03-06,1.96
2012-03-07,1.98
2012-03-08,2.03
2012-03-09,2.04
2012-03-12,2.04
2012-03-13,2.14
2012-03-14,2.29
2012-03-15,2.29
2012-03-16,2.31
2012-03-19,2.39
2012-03-20,2.38
2012-03-21,2.31
2012-03-22,2.29
2012-03-23,2.25
2012-03-26,2.26
2012-03-27,2.20
2012-03-28,2.21
2012-03-29,2.18
2012-03-30,2.23
2012-04-02,2.22
2012-04-03,2.30
2012-04-04,2.25
2012-04-05,2.19
2012-04-06,2.07
2012-04-09,2.06
2012-04-10,2.01
2012-04-11,2.05
2012-04-12,2.08
2012-04-13,2.02
2012-04-16,2.00
2012-04-17,2.03
2012-04-18,2.00
2012-04-19,1.98
2012-04-20,1.99
2012-04-23,1.96
2012-04-24,2.00
2012-04-25,2.01
2012-04-26,1.98
2012-04-27,1.96
2012-04-30,1.95
2012-05-01,1.98
2012-05-02,1.96
2012-05-03,1.96
2012-05-04,1.91
2012-05-07,1.92
2012-05-08,1.88
2012-05-09,1.87
2012-05-10,1.89
2012-05-11,1.84
2012-05-14,1.78
2012-05-15,1.76
2012-05-16,1.76
2012-05-17,1.70
2012-05-18,1.71
2012-05-21,1.75
2012-05-22,1.79
2012-05-23,1.73
2012-05-24,1.77
2012-05-25,1.75
2012-05-28,.
2012-05-29,1.74
2012-05-30,1.63
2012-05-31,1.59
2012-06-01,1.47
2012-06-04,1.53
2012-06-05,1.57
2012-06-06,1.66
2012-06-07,1.66
2012-06-08,1.65
2012-06-11,1.60
2012-06-12,1.67
2012-06-13,1.61
2012-06-14,1.64
2012-06-15,1.60
2012-06-18,1.59
2012-06-19,1.64
2012-06-20,1.65
2012-06-21,1.63
2012-06-22,1.69
2012-06-25,1.63
2012-06-26,1.66
2012-06-27,1.65
2012-06-28,1.60
2012-06-29,1.67
2012-07-02,1.61
2012-07-03,1.65
2012-07-04,.
2012-07-05,1.62
2012-07-06,1.57
2012-07-09,1.53
2012-07-10,1.53
2012-07-11,1.54
2012-07-12,1.50
2012-07-13,1.52
2012-07-16,1.50
2012-07-17,1.53
2012-07-18,1.52
2012-07-19,1.54
2012-07-20,1.49
2012-07-23,1.47
2012-07-24,1.44
2012-07-25,1.43
2012-07-26,1.45
2012-07-27,1.58
2012-07-30,1.53
2012-07-31,1.51
2012-08-01,1.56
2012-08-02,1.51
2012-08-03,1.60
2012-08-06,1.59
2012-08-07,1.66
2012-08-08,1.68
2012-08-09,1.69
2012-08-10,1.65
2012-08-13,1.65
2012-08-14,1.73
2012-08-15,1.80
2012-08-16,1.83
2012-08-17,1.81
2012-08-20,1.82
2012-08-21,1.80
2012-08-22,1.71
2012-08-23,1.68
2012-08-24,1.68
2012-08-27,1.65
2012-08-28,1.64
2012-08-29,1.66
2012-08-30,1.63
2012-08-31,1.57
2012-09-03,.
2012-09-04,1.59
2012-09-05,1.60
2012-09-06,1.68
2012-09-07,1.67
2012-09-10,1.68
2012-09-11,1.70
2012-09-12,1.77
2012-09-13,1.75
2012-09-14,1.88
2012-09-17,1.85
2012-09-18,1.82
2012-09-19,1.79
2012-09-20,1.80
2012-09-21,1.77
2012-09-24,1.74
2012-09-25,1.70
2012-09-26,1.64
2012-09-27,1.66
2012-09-28,1.65
2012-10-01,1.64
2012-10-02,1.64
2012-10-03,1.64
2012-10-04,1.70
2012-10-05,1.75
2012-10-08,.
2012-10-09,1.74
2012-10-10,1.72
2012-10-11,1.70
2012-10-12,1.69
2012-10-15,1.70
2012-10-16,1.75
2012-10-17,1.83
2012-10-18,1.86
2012-10-19,1.79
2012-10-22,1.83
2012-10-23,1.79
2012-10-24,1.80
2012-10-25,1.86
2012-10-26,1.78
2012-10-29,1.74
2012-10-30,.
2012-10-31,1.72
2012-11-01,1.75
